TOWNCODE,TOWNENG,COUNTYNAME,TOWNNAME,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
64000050,Kaohsiung_SanminDistrict,高雄市,三民區,355927,355097,354022,352159,349710,348488,347619,346169,344888,343243,340913,339269,336868,333038,330419,331995,330287,328827
64000100,Kaohsiung_QijinDistrict,高雄市,旗津區,29940,29975,29968,29781,29468,29040,28958,29008,28898,28763,28506,28129,27785,27204,26671,26220,25587,24906
64000020,Kaohsiung_GushanDistrict,高雄市,鼓山區,125641,129521,131728,132868,133964,135102,135667,136665,138099,139259,140133,141055,141488,140410,139590,140701,141277,140791
64000030,Kaohsiung_ZuoyingDistrict,高雄市,左營區,188671,189944,191991,193482,194815,195436,195643,196244,196936,197072,196872,197728,197306,196314,195296,197276,197784,197621
10017030,Keelung_NuannuanDistrict,基隆市,暖暖區,38210,38095,37958,37943,37851,37860,38188,38379,38407,38708,38619,38535,38548,38398,38320,38450,38334,38462
10017020,Keelung_QiduDistrict,基隆市,七堵區,55199,55496,55161,54711,54217,54041,53974,54060,54103,53972,53782,53732,53615,53276,53003,52757,52528,52169
10017040,Keelung_RenaiDistrict,基隆市,仁愛區,50340,50400,49581,48717,47741,47034,46244,45626,45021,44314,43730,43201,42787,41842,41328,41131,40515,39689
10017070,Keelung_XinyiDistrict,基隆市,信義區,51402,51650,51237,51033,51245,51248,51264,51604,51868,52035,52662,52778,53168,53051,52966,53372,53195,52568
10017010,Keelung_ZhongzhengDistrict,基隆市,中正區,56803,56247,55271,54447,54020,53571,53094,52710,52572,52163,51670,51483,51224,50654,50574,50646,50950,51542
10017050,Keelung_ZhongshanDistrict,基隆市,中山區,51908,51574,50909,50297,49794,49254,48733,48397,48115,47908,47398,46897,46459,45755,45038,45459,45859,45556
10017060,Keelung_AnleDistrict,基隆市,安樂區,85117,84859,84017,82779,82285,81906,81580,81329,82014,82358,82294,82267,81776,81001,80297,80440,80060,79850
10009130,Yunlin_MailiaoTownship,雲林縣,麥寮鄉,34036,35053,37029,39147,41096,42526,43880,44600,45126,45665,46196,47196,47951,48695,49354,49533,50001,48815
10009010,Yunlin_DouliuCity,雲林縣,斗六市,106226,106723,106854,107143,107727,108011,108098,108359,108401,108567,108542,108606,108677,108100,107791,108172,109082,109030
10009020,Yunlin_DounanTownship,雲林縣,斗南鎮,47585,47461,47120,46815,46570,46271,46013,45590,45227,44941,44547,44296,44154,43584,43355,43218,43509,43322
10009030,Yunlin_HuweiTownship,雲林縣,虎尾鎮,69874,70259,70025,70080,70423,70486,70269,70551,70815,70892,70844,70994,70899,70648,70305,70386,70904,71349
10009040,Yunlin_XiluoTownship,雲林縣,西螺鎮,48990,48954,48502,48125,47791,47482,47187,46840,46597,46244,46064,45723,45463,45029,44578,44494,44313,43975
10009050,Yunlin_TukuTownship,雲林縣,土庫鎮,30952,30730,30476,30247,29957,29797,29697,29401,29275,28932,28794,28544,28305,27938,27650,27513,27361,27234
10009060,Yunlin_BeigangTownship,雲林縣,北港鎮,43781,43537,43059,42483,42257,41986,41528,41006,40658,40278,39905,39397,39089,38437,37849,37534,37512,37053
10009070,Yunlin_GukengTownship,雲林縣,古坑鄉,34976,34598,34061,33659,33280,32865,32686,32326,31995,31708,31358,31202,30868,30438,30138,29846,29554,29193
10009080,Yunlin_DabiTownship,雲林縣,大埤鄉,21702,21533,21234,20893,20582,20290,19989,19727,19480,19263,19030,18801,18604,18451,18231,17929,17794,17521
10009090,Yunlin_CitongTownship,雲林縣,莿桐鄉,30741,30715,30477,30251,29906,29825,29599,29232,29089,28939,28703,28524,28311,27970,27554,27367,27450,27201
10009100,Yunlin_LinneiTownship,雲林縣,林內鄉,20144,20089,19720,19581,19352,19117,18970,18664,18453,18230,17995,17776,17434,17131,16930,16635,16572,16285
10009110,Yunlin_ErlunTownship,雲林縣,二崙鄉,30289,30076,29665,29331,29060,28712,28323,27939,27518,27255,26855,26371,26029,25660,25220,24848,24642,24165
10009120,Yunlin_LunbeiTownship,雲林縣,崙背鄉,27976,27755,27350,26879,26570,26241,25896,25469,25083,24678,24345,24025,23784,23584,23098,22853,22599,22255
